Enter the load address: 4000

PROGRAM = COPY

Address   ObjectCode
_______________________

4000            144033
4003            485039
4006            104036
4009            284030
400C            304015
400F            485061
4012            3C4003
4015            20402a
4018            1C4039
401B            30402d
401E            1D4036
4021            485061
4024            184033
4027            4C5000
402A            805000
402D            605003

4000            144033
4003            485039
4006            104036
4009            284030
400C            304015
400F            485061
4012            3C4003
4015            20402a
4018            1C4039
401B            30402d
401E            1D4036
4021            485061
4024            184033
